ID,Predicted_cc_cons
17591,3148.866930923747
13541,6954.170537502907
13431,2621.7744104868834
8687,9041.669357518158
14727,2657.8366968291357
14988,8507.5511755779
14859,22420.09403884314
16636,6721.617475428339
7625,3970.3985757324767
16492,3692.8572598330306
13674,5881.1326310598015
11981,6133.89596811458
5185,6577.153377283655
15288,3505.570668070059
18526,6534.434358762749
16760,6810.304597912821
10805,16385.065036639557
8830,3039.857102459368
8926,10205.47067134225
10974,17235.6448306209
2155,5226.99787272074
17251,20056.24503081369
12154,7591.478295255067
12227,7006.149835250861
19961,5389.203325933089
13866,6453.773597991249
17498,11742.507025177438
7241,3968.325964852686
414,19808.142322329157
206,6937.768970150913
7420,7879.346855920195
4601,43667.22192386525
2768,9261.92744721261
8120,10353.475712261656
18584,5674.251820159833
16697,10355.109809340756
16238,11700.437068731904
3772,8350.667275584212
3462,7640.827470974902
710,8238.437057560157
558,5897.567533013556
1244,8187.597508028149
1302,24165.81120209358
547,12773.226215065393
19129,6501.333699687929
237,6896.795376557749
11122,2378.659405565664
4438,2976.0829878714258
18371,2935.2162746312265
6401,6107.002930153808
13770,17672.702220548686
18317,6502.630929658614
19226,11331.950681936602
4126,21416.8447356569
11313,2599.0732192173787
3925,5800.832135311144
15973,4681.181347855224
12281,7078.387896728739
353,11771.242765838395
907,3876.8540098905214
1711,4562.651848028638
9617,5405.417007651529
12928,10219.009886105827
3523,9303.99243585776
18838,6549.947847995884
17609,8182.511713914488
306,5196.323952084836
14812,3673.706344513247
1551,3761.043029284224
16640,17110.97220239137
13546,3034.8983586106074
4968,23485.540759659343
13371,2933.93293207234
3981,8454.934599049504
11568,24052.033032925014
5662,9753.77968673135
19586,3844.2303674227906
14489,8966.595829971671
14153,6889.98025030373
7626,7219.389880530944
3085,7129.833529419578
14821,10473.966083353396
9815,6988.109193022539
6506,2421.94390022113
6176,38497.57470110783
13040,2634.036608723254
1325,5529.777763305107
330,17087.849664937137
2389,14989.37377799161
10391,10527.051009267849
1019,19048.565540437703
4338,13406.802901238405
19849,11661.547355682345
13667,12534.285271994993
12709,4132.987291120528
12701,7594.172108094173
18563,9268.236725094514
19665,12335.548735668022
5251,15772.669406403498
6671,2678.896939954174
15887,6957.232061430695
544,5119.494723918937
13494,17585.079776991755
4304,10451.852049770843
12181,6588.134257378558
15041,9209.414845833488
14167,7142.618422086643
4659,20348.952607926774
1820,10102.102272985485
6317,11327.532377663656
313,17439.82947280087
12467,13447.86774886977
13452,20134.742306402004
3464,1242.6632978971302
4890,8081.218161738403
11567,19330.72661686818
17396,3704.6178302814283
13188,4445.562454101135
15605,7503.880271844318
7577,4734.561858994444
8160,3915.1457146526095
1429,7061.284724299778
14928,9732.334770486692
3349,30851.24306049014
799,6086.122543076254
12678,6886.61868948699
19053,7321.493325678638
15806,7049.856021995127
2854,6051.100662676895
4144,6162.8423100211785
16232,11909.194740892312
10365,13308.773539892925
4202,7006.321556188758
9671,3976.0972480775636
6615,2856.6472514880006
12050,7309.497474834138
13998,2727.979458508457
7406,8663.314063907324
12497,5212.435330777709
4662,6509.736697422248
3661,2795.650329090157
17436,6040.451179658969
2332,6262.173941940726
16771,11557.42172419449
17110,18017.80537669499
15967,4457.149998480302
5758,3470.872265278496
2882,4836.135734814173
10774,10096.656734414206
7750,25104.021729712193
16516,13049.027476398864
3670,2025.6301237014734
15883,9942.131006614774
2947,4433.491693014471
13476,11035.066816403249
13301,8208.254018885684
6468,5515.540758876965
15135,11544.766032502175
16278,5859.305485806729
12114,10287.005193822346
3839,14996.404079441269
2886,5992.175824706622
11928,11903.735808305086
15155,7978.569305511559
4316,5517.211306622453
7299,6955.205119294465
1306,3522.710830020439
19221,8008.613490429077
7039,4425.664797017067
11499,4257.831322576803
1312,4922.703020669994
2124,4162.284559008515
1907,4419.939198888924
16979,8447.134716139386
6629,15358.097208157427
5295,10871.995810927596
11961,11843.82259179028
11653,2966.0530180372443
2822,4957.458463202093
9335,10236.842463445775
742,8705.939600538013
8080,3730.8744944781015
12707,6030.2084284952625
3559,10820.828079899267
4455,21821.71049570752
16907,1787.823268487779
6453,11820.929552329353
1108,6783.276909238751
280,4213.1779642930815
16566,4223.214378926098
17535,14758.592878988607
15464,5042.471038299658
936,3392.015686955063
17214,5304.122916770965
6182,10459.879507883405
